n_of_reviews,avg_review_rating,avg_days_between_reviews,max_days_between_reviews,min_days_between_reviews,product_ID,cluster_ID,pagerank,eigenvector_cent,clustering_coef,w_degree,fake_score,fake
89,4.932584269662922,14.863636363636354,72.0,0.0,0,18,6.859910048627596e-05,1.3330209274312168e-06,0.0833333333333333,15.0,0.14,0
75,4.36,30.58108108108108,116.0,0.0,23,18,4.9448857819883857e-05,2.7420856531846586e-08,0.0277777777777777,9.0,0.14,0
139,4.60431654676259,23.97101449275362,211.0,0.0,919,18,0.0001348585901476,2.333932806237703e-06,0.0451612903225806,31.0,0.05,0
59,4.457627118644068,27.77586206896551,166.0,2.0,1028,18,6.229897285526029e-05,3.2397860286695816e-08,0.0454545454545454,12.0,0.13,0
136,4.610294117647059,14.555555555555555,227.0,0.0,1035,18,6.376432638595515e-05,5.711484564833706e-07,0.0,12.0,0.12,0
52,4.615384615384615,47.68627450980392,169.0,1.0,1062,18,7.39557030088203e-05,6.103543817424067e-07,0.0833333333333333,16.0,0.18,0
89,4.876404494382022,30.170454545454536,207.0,0.0,1129,18,7.25094828877289e-05,2.540242826521588e-08,0.019047619047619,15.0,0.11,0
55,4.6909090909090905,20.425925925925927,107.0,1.0,1188,18,0.0001558050195069,1.1147931033069543e-07,0.048048048048048,37.0,0.3,1
52,4.538461538461538,33.11764705882353,147.0,0.0,1348,18,6.702610052198813e-05,4.051234780044984e-08,0.0727272727272727,13.0,0.17,0
81,4.419753086419753,33.125,179.0,0.0,1375,18,3.441747121615304e-05,2.1237159816624664e-08,0.0,5.0,0.17,0
71,4.619718309859155,28.142857142857142,167.0,1.0,1402,18,0.0001001251437185,6.491368980565239e-07,0.0476190476190476,23.0,0.09,0
88,4.409090909090909,26.37931034482758,176.0,0.0,1572,18,7.80441326448042e-05,1.1385047294919882e-06,0.0416666666666666,16.0,0.05,0
125,4.52,24.94354838709677,196.0,0.0,1624,18,9.722599078074864e-05,6.45959291878871e-07,0.0105263157894736,20.0,0.08,0
109,4.7889908256880735,20.80555555555556,103.0,0.0,1815,18,7.62218951865099e-05,4.7215945240513056e-08,0.0285714285714285,15.0,0.12,0
58,4.672413793103448,35.38596491228069,159.0,0.0,1948,18,5.8506097403499734e-05,2.2049986474696826e-08,0.0727272727272727,11.0,0.13,0
189,4.7407407407407405,13.138297872340416,202.0,0.0,1959,18,0.0001166723610122,1.2066621578818363e-06,0.0474308300395256,26.0,0.07,0
113,4.584070796460177,22.866071428571423,124.0,1.0,1954,18,0.0001037463389091,3.952847986332032e-08,0.0606060606060606,22.0,0.06,0
75,4.88,22.918918918918912,140.0,0.0,2122,18,8.93033301306406e-05,1.1475531367724475e-06,0.023391812865497,19.0,0.1,0
92,4.739130434782608,28.505494505494504,128.0,0.0,2121,18,7.56959534886206e-05,5.945025118817466e-07,0.038095238095238,15.0,0.13,0
273,4.8498168498168495,15.165441176470578,225.0,0.0,2283,18,0.0001545423576096,1.1854171568529671e-06,0.0184873949579831,36.0,0.13,0
140,4.435714285714286,27.913669064748195,166.0,0.0,2292,18,7.517491256407932e-05,3.65366240679509e-08,0.0416666666666666,16.0,0.05,0
80,4.525,16.316455696202524,159.0,0.0,2396,18,7.652466289768678e-05,6.199740057697451e-07,0.0916666666666666,16.0,0.07,0
111,4.684684684684685,21.44545454545453,172.0,0.0,2405,18,0.00011628185979,6.070851073546232e-07,0.0369230769230769,26.0,0.07,0
107,4.728971962616822,16.113207547169804,122.0,0.0,2462,18,0.0001333228571476,6.59813764305973e-07,0.025287356321839,30.0,0.14,0
110,4.4,24.02752293577981,168.0,0.0,2477,18,0.0001430386748096,4.511579274568041e-07,0.035650623885918,34.0,0.07,0
197,4.761421319796955,20.09183673469388,199.0,0.0,2774,18,0.0001400712584955,1.759246210360605e-06,0.0279569892473118,31.0,0.07,0
60,4.816666666666666,19.27118644067796,89.0,0.0,2783,18,0.0001048456067391,3.4850261074699615e-08,0.2416666666666666,25.0,0.19,0
199,4.733668341708543,5.121212121212118,95.0,0.0,2871,18,0.0001179353181748,6.272060090549061e-08,0.0526315789473684,26.0,0.08,0
166,4.614457831325301,16.642424242424237,176.0,0.0,3174,18,4.873878943837273e-05,4.7941259597265965e-08,0.0,9.0,0.2,0
76,4.421052631578948,30.706666666666667,172.0,0.0,3192,18,0.0001398390305041,1.235113398276468e-06,0.0241935483870967,33.0,0.08,0
129,4.5271317829457365,34.4296875,188.0,0.0,3232,18,9.279110940953856e-05,7.527555764639019e-08,0.065359477124183,20.0,0.08,0
95,4.621052631578947,28.17021276595744,179.0,0.0,3303,18,0.0001244251829298,6.083370417402136e-07,0.0608465608465608,28.0,0.08,0
51,4.705882352941177,45.14,160.0,1.0,3361,18,4.003043509282117e-05,4.9193807800234905e-09,0.0666666666666666,6.0,0.15,0
186,4.811827956989247,15.016216216216216,183.0,0.0,3379,18,0.000185820236357,1.7973907079820492e-06,0.0285412262156448,45.0,0.1,0
107,4.457943925233645,28.867924528301888,156.0,0.0,3408,18,0.000100246230745,7.064488760504571e-08,0.0649350649350649,22.0,0.06,0
96,4.625,23.084210526315783,195.0,0.0,3573,18,8.192872311786902e-05,5.555260917868738e-08,0.0261437908496732,18.0,0.08,0
123,4.560975609756097,16.278688524590162,79.0,0.0,3638,18,0.0001123582135563,7.185284081911489e-08,0.0181159420289855,24.0,0.1,0
141,4.716312056737588,18.557142857142846,206.0,0.0,3709,18,0.0001118430115754,1.1836273514335854e-06,0.019047619047619,24.0,0.08,0
97,4.865979381443299,24.11458333333333,227.0,0.0,3730,18,9.57842351912514e-05,1.1741051533231402e-06,0.0526315789473684,21.0,0.12,0
