n_of_reviews,avg_review_rating,avg_days_between_reviews,max_days_between_reviews,min_days_between_reviews,product_ID,cluster_ID,pagerank,eigenvector_cent,clustering_coef,w_degree,fake_score,fake
123,4.130081300813008,33.74590163934426,848.0,0.0,2,4,0.0004046599271789,2.124704869868029e-07,0.0,4.0,0.16,0
176,4.4602272727272725,23.154285714285702,886.0,0.0,3,4,0.0006542442998441,4.478932083327327e-09,0.0,7.0,0.13,0
266,3.695488721804512,10.683018867924526,918.0,0.0,14,4,0.0002676106564434,3.763204108805139e-11,0.0,2.0,0.12,0
75,4.2,34.17567567567567,1154.0,0.0,29,4,0.0007164233929889,2.1269292270286626e-07,0.0357142857142857,9.0,0.1,0
76,3.223684210526316,87.04,1131.0,0.0,33,4,0.0004038416818347,5.20675760442115e-05,1.0,5.0,0.19,0
229,3.995633187772926,21.25438596491228,834.0,0.0,32,4,0.0007218821267424,2.170389268616738e-07,0.0476190476190476,8.0,0.09,0
68,4.779411764705882,43.0,869.0,0.0,42,4,0.0002470234198516,1.945723330789258e-09,0.0,2.0,0.2,0
88,4.159090909090909,73.18390804597702,1030.0,0.0,43,4,0.0006480373691369,5.120919858046023e-05,0.1428571428571428,8.0,0.04,0
197,4.299492385786802,33.39795918367347,1167.0,0.0,44,4,0.001407022943935,8.531360800815813e-07,0.0222222222222222,21.0,0.16,0
64,4.328125,87.28571428571428,1230.0,0.0,51,4,0.0003773274528937,2.144321819678992e-07,0.0,4.0,0.18,0
403,4.404466501240695,15.07213930348258,959.0,0.0,59,4,0.0020039269520132,5.166292564989068e-05,0.0303030303030303,25.0,0.15,0
83,4.566265060240964,75.42682926829268,895.0,1.0,72,4,0.0043635360044796,6.669075956837807e-07,0.1268115942028985,106.0,0.21,0
83,4.566265060240964,75.42682926829268,895.0,1.0,73,4,0.0043635360044774,6.669075956765349e-07,0.1268115942028985,106.0,0.21,0
103,3.844660194174757,42.0686274509804,846.0,0.0,78,4,0.0008470152995823,1.4492798113934013e-08,0.0222222222222222,10.0,0.13,0
147,3.891156462585034,43.86986301369862,905.0,0.0,68,4,0.0007330793924904,1.0649447867186451e-09,0.0714285714285714,8.0,0.08,0
208,3.682692307692308,24.09178743961352,792.0,0.0,110,4,0.0016841029863851,1.7071351467960125e-06,0.0073529411764705,23.0,0.13,0
65,4.153846153846154,84.34375,1008.0,0.0,117,4,0.0006472335359203,2.245653742460423e-07,0.25,9.0,0.17,0
104,4.336538461538462,30.96116504854369,792.0,0.0,119,4,0.0007526103778161,2.034027626198187e-09,0.0714285714285714,9.0,0.11,0
108,3.259259259259259,57.691588785046726,767.0,0.0,118,4,0.0005668171791242,2.160500515686849e-07,0.2,6.0,0.14,0
311,3.530546623794212,21.216129032258056,1200.0,0.0,124,4,0.0015795708770333,2.325047982623475e-07,0.0666666666666666,21.0,0.15,0
62,3.693548387096774,85.54098360655738,1099.0,0.0,151,4,0.0001763430523774,8.637514100936738e-12,0.0,1.0,0.18,0
112,4.544642857142857,50.12612612612613,884.0,0.0,143,4,0.0007130143765526,2.251156516849024e-07,0.1428571428571428,9.0,0.12,0
